fecha,valor,completo_mediciones,completo_umbral
2006/01,102.24,95.7,93.5
2006/02,171.12,100.0,100.0
2006/03,212.16,100.0,100.0
2006/04,301.44,100.0,100.0
2006/05,112.32,100.0,100.0
2006/06,3.84,100.0,100.0
2006/07,35.52,100.0,100.0
2006/08,18.24,100.0,100.0
2006/09,113.52,100.0,100.0
2007/01,128.88,100.0,100.0
2007/02,111.6,100.0,100.0
2007/03,218.88,100.0,100.0
2007/04,272.16,100.0,100.0
2007/05,160.56,100.0,100.0
2007/06,94.08,100.0,100.0
2007/07,39.12,100.0,100.0
2007/08,81.84,100.0,100.0
2007/09,10.08,100.0,100.0
2007/10,202.8,100.0,100.0
2007/11,185.28,100.0,100.0
2007/12,110.4,82.2,80.6
2008/02,270.48,100.0,100.0
2008/03,299.28,100.0,100.0
2008/08,66.96,100.0,100.0
2008/09,103.44,100.0,100.0
2008/10,181.2,100.0,100.0
2008/11,126.0,100.0,100.0
2008/12,187.44,100.0,100.0
2009/01,264.24,100.0,100.0
2009/02,242.64,100.0,100.0
2009/03,152.4,100.0,100.0
2009/04,150.72,100.0,100.0
2009/05,124.56,100.0,100.0
2009/06,103.2,100.0,100.0
2009/07,24.24,100.0,100.0
2009/08,25.68,100.0,100.0
2009/09,22.08,100.0,100.0
2009/10,76.08,100.0,100.0
2009/11,82.8,100.0,100.0
2009/12,129.12,100.0,100.0
2010/02,45.6,100.0,100.0
2010/03,60.48,100.0,100.0
2010/04,342.0,100.0,100.0
2010/11,203.4,100.0,100.0
2010/12,218.0,100.0,100.0
2011/01,100.8,100.0,100.0
2011/02,273.1,100.0,100.0
2011/03,197.9,100.0,100.0
2011/05,84.8,92.0,90.3
2011/06,50.8,100.0,100.0
2011/07,94.8,100.0,100.0
2011/08,57.4,100.0,100.0
2011/09,83.8,100.0,100.0
2011/10,116.0,100.0,100.0
2011/11,55.0,100.0,100.0
2011/12,122.5,100.0,100.0
2012/01,234.3,100.0,100.0
2012/02,130.9,100.0,100.0
2012/03,172.4,100.0,100.0
2012/04,281.3,100.0,100.0
2012/05,57.0,100.0,100.0
2012/06,29.2,100.0,100.0
2012/07,22.4,100.0,100.0
2012/08,12.3,100.0,100.0
2012/09,26.8,100.0,100.0
2012/10,116.7,100.0,100.0
2012/11,147.7,100.0,100.0
2012/12,43.4,100.0,100.0
2013/01,97.3,100.0,100.0
2013/02,174.3,100.0,100.0
2013/03,88.0,100.0,100.0
2013/04,151.8,100.0,100.0
2013/05,235.9,100.0,100.0
2013/06,12.3,100.0,100.0
2013/07,11.8,100.0,100.0
2013/08,31.2,100.0,100.0
2013/09,53.6,100.0,100.0
2013/10,144.9,100.0,100.0
2013/11,53.1,100.0,100.0
2013/12,59.1,100.0,100.0
2014/01,146.0,100.0,100.0
2014/02,77.2,100.0,100.0
2014/03,172.2,100.0,100.0
2014/04,80.8,100.0,100.0
2014/05,116.1,100.0,100.0
2014/06,44.7,100.0,100.0
2014/07,8.3,100.0,100.0
2014/08,20.5,100.0,100.0
2014/09,64.6,100.0,100.0
2014/10,166.0,100.0,100.0
2014/11,126.6,100.0,100.0
2014/12,43.0,100.0,100.0
2015/01,87.6,100.0,100.0
2015/02,127.0,100.0,100.0
2015/03,185.3,100.0,100.0
2015/04,85.7,100.0,100.0
2015/05,38.4,100.0,100.0
2015/06,7.7,100.0,100.0
2015/07,39.5,100.0,100.0
2015/08,7.7,100.0,100.0
2015/09,11.6,100.0,100.0
2015/10,105.6,100.0,100.0
2015/11,113.7,100.0,100.0
2015/12,30.9,100.0,100.0
2016/01,227.9,100.0,100.0
2016/02,60.1,100.0,100.0
2016/03,130.7,100.0,100.0
2016/04,230.8,100.0,100.0
2016/05,127.4,100.0,100.0
2016/06,69.8,100.0,100.0
2016/07,15.9,100.0,100.0
2016/08,29.2,100.0,100.0
2016/09,107.5,100.0,100.0
2016/10,151.3,100.0,100.0
2016/11,41.8,100.0,100.0
2016/12,85.2,100.0,100.0
2017/02,213.2,100.0,100.0
2017/03,330.4,100.0,100.0
2017/04,212.1,100.0,100.0
2017/05,196.4,100.0,100.0
2017/06,129.8,100.0,100.0
2017/07,7.3,100.0,100.0
2017/08,67.6,100.0,100.0
2017/09,42.5,100.0,100.0
2017/10,155.2,100.0,100.0
2017/11,59.9,100.0,100.0
2018/05,298.0,100.0,100.0
2018/06,41.5,100.0,100.0
2018/07,37.6,99.8,100.0
2018/10,31.7,95.6,93.5
2018/11,219.0,100.0,100.0
2018/12,40.9,100.0,100.0
2019/01,113.7,91.0,90.3
2019/04,261.5,100.0,100.0
2019/05,121.1,100.0,100.0
2019/06,71.2,100.0,100.0
2019/07,33.4,96.8,93.5
2019/08,4.6,100.0,100.0
2019/09,56.3,100.0,100.0
2019/10,130.6,100.0,100.0
2019/11,184.6,88.5,86.7
2020/01,157.5,100.0,100.0
2020/02,161.9,100.0,100.0
2020/03,216.3,100.0,100.0
2020/04,242.2,100.0,100.0
2020/05,104.7,100.0,100.0
2020/06,105.1,100.0,100.0
2020/07,59.7,100.0,100.0
2020/08,79.7,100.0,100.0
2020/09,120.1,100.0,100.0
2020/10,96.5,100.0,100.0
2020/11,110.0,100.0,100.0
2020/12,222.6,100.0,100.0
2021/01,126.3,100.0,100.0
2021/04,254.6,98.3,96.7
2021/05,199.3,100.0,100.0
2021/06,175.2,100.0,100.0
2021/07,33.8,100.0,100.0
2021/11,216.6,98.3,96.7
2021/12,188.6,100.0,100.0
2022/01,184.7,100.0,100.0
2022/02,212.6,100.0,100.0
2022/04,169.0,85.3,83.3
2022/11,78.8,98.4,96.7
2022/12,102.4,100.0,100.0
2023/01,187.5,96.9,93.5
2023/02,122.4,100.0,100.0
2023/03,288.7,100.0,100.0
2023/04,272.5,100.0,100.0
2023/05,185.3,100.0,100.0
2023/06,56.7,100.0,100.0
2023/07,55.1,100.0,100.0
2023/08,55.7,100.0,100.0
2023/09,72.3,100.0,100.0
2023/10,246.7,100.0,100.0
2023/11,159.4,100.0,100.0
2023/12,244.4,100.0,100.0
2024/01,56.8,100.0,100.0
2024/02,222.8,100.0,100.0
2024/03,173.7,100.0,100.0
2024/04,281.1,100.0,100.0
2024/05,187.3,100.0,100.0
2024/06,106.0,100.0,100.0
2024/07,24.2,100.0,100.0
2024/08,21.5,100.0,100.0
2024/09,39.6,100.0,100.0
2024/10,130.2,100.0,100.0
2024/11,37.2,100.0,100.0
2024/12,285.1,100.0,100.0
2022/09,35.9,100.0,100.0
2022/10,62.2,100.0,100.0
2022/11,30.6,100.0,100.0
2022/12,154.6,100.0,100.0
2023/01,309.4,100.0,100.0
2023/02,365.0,100.0,100.0
2023/03,380.7,100.0,100.0
2023/04,378.6,100.0,100.0
2023/05,189.3,80.6,80.6
2023/06,69.2,96.7,96.7
2023/07,54.5,100.0,100.0
2023/08,17.2,100.0,100.0
2023/09,78.2,100.0,100.0
2023/10,215.5,100.0,100.0
2023/11,171.9,100.0,100.0
2023/12,300.3,100.0,100.0
2024/01,96.1,100.0,100.0
2024/02,291.4,100.0,100.0
2024/07,67.9,100.0,100.0
2024/08,14.4,100.0,100.0
2025/02,300.1,89.2,89.3
2025/03,489.1,100.0,100.0
2025/04,233.0,93.3,93.3
2022/05,217.7,100.0,100.0
2022/09,39.2,100.0,100.0
2022/10,79.4,100.0,100.0
2022/11,35.8,100.0,100.0
2022/12,187.7,100.0,100.0
2023/01,288.3,100.0,100.0
2023/02,393.5,100.0,100.0
2023/03,456.0,100.0,100.0
2023/04,418.5,100.0,100.0
2023/05,190.6,80.6,80.6
2023/06,79.8,100.0,100.0
2023/07,76.4,100.0,100.0
2023/08,25.9,100.0,100.0
2023/09,84.5,100.0,100.0
2023/10,279.4,100.0,100.0
2023/11,255.8,100.0,100.0
2023/12,420.3,100.0,100.0
2024/01,169.8,100.0,100.0
2024/02,400.9,100.0,100.0
2024/03,290.1,100.0,100.0
2024/04,407.2,100.0,100.0
2024/05,257.3,100.0,100.0
2024/06,149.5,90.0,90.0
2024/07,70.7,100.0,100.0
2024/08,24.4,100.0,100.0
2022/05,116.35,87.1,87.1
2022/06,70.68,100.0,100.0
2022/07,15.2,100.0,100.0
2022/08,18.32,100.0,100.0
2022/09,31.45,100.0,100.0
2022/10,57.03,99.8,100.0
2022/11,29.24,100.0,100.0
2022/12,76.3,100.0,100.0
2023/01,128.18,100.0,100.0
2023/02,300.62,100.0,100.0
2023/03,172.94,100.0,100.0
2023/04,273.56,99.9,100.0
2023/05,189.99,100.0,100.0
2023/06,75.03,100.0,100.0
2023/07,50.82,100.0,100.0
2023/08,27.54,100.0,100.0
2023/09,76.56,100.0,100.0
2023/10,184.59,100.0,100.0
2023/11,151.64,100.0,100.0
2023/12,247.97,100.0,100.0
2024/01,68.44,100.0,100.0
2024/02,304.75,100.0,100.0
2024/03,229.35,100.0,100.0
2024/04,199.44,100.0,100.0
2024/05,158.84,83.9,83.9
2025/02,499.1,89.2,89.3
2025/03,621.5,100.0,100.0
2025/04,318.8,100.0,100.0
